title,release_date_clean,critic_score_scaled,audience_score_scaled
Chaplin,1993-01-08,6.1,8.1
Hoffa,1992-12-25,5.2,5.8
Lorenzo's Oil,1993-01-15,9.3,8.0
Jurassic Park,1993-06-11,9.2,9.1
Mrs. Doubtfire,1993-11-24,7.0,7.7
Sleepless in Seattle,1993-06-25,7.5,7.5
Indecent Proposal,1993-04-07,3.4,4.7
In the Line of Fire,1993-07-09,9.6,7.9
The Pelican Brief,1993-12-17,5.5,6.1
The Pelican Brief,1993-12-17,5.5,6.1
Schindler's List,1993-12-15,9.8,9.7
Leprechaun,1993-01-08,3.5,3.3
Aspen Extreme,1993-01-22,2.2,6.7
Hexed,1993-01-22,0.9,3.6
Children of the Corn II: The Final Sacrifice,2022-01-29,3.0,2.0
Matinee,1993-01-29,9.3,6.3
The Cemetery Club,1993-02-03,5.7,3.0
Homeward Bound: The Incredible Journey,1993-02-03,8.7,7.1
National Lampoon's Loaded Weapon 1,1993-02-05,2.1,5.0
Sommersby,1993-02-05,6.3,5.9
The Vanishing,1990-10-10,9.6,8.8
Dead Alive,1993-02-12,8.9,8.7
Groundhog Day,1993-02-12,9.4,8.8
Love Field,1992-12-11,4.0,5.5
The Temp,1993-02-12,3.2,1.9
Untamed Heart,1993-02-12,5.8,7.6
Army of Darkness,1992-02-19,6.8,8.7
The Crying Game,1992-11-25,9.5,7.8
El Mariachi,1993-02-26,9.1,7.6
Falling Down,1993-02-26,7.5,8.4
Swing Kids,1993-03-05,5.6,7.9
Fire in the Sky,1993-03-12,5.2,5.7
Just Another Girl on the I.R.T.,1993-03-19,6.8,8.3
Married to It,1993-03-26,3.0,4.3
The Adventures of Huck Finn,1993-04-02,7.5,5.0
Cop and a Half,1993-04-02,1.3,3.4
Crush,2002-04-05,3.6,5.7
Jack the Bear,1993-04-02,2.8,5.8
Indecent Proposal,1993-04-07,3.4,4.7
The Sandlot,1993-04-01,6.5,8.9
Sidekicks,1993-04-09,2.6,4.8
Benny & Joon,1993-04-16,7.6,8.5
The Night We Never Met,1993-04-30,5.6,3.5
The Night We Never Met,1993-04-30,5.6,3.5
American Heart,1992-09-17,8.0,6.8
Dave,1993-05-07,9.5,7.2
Dragon: The Bruce Lee Story,1993-05-07,7.4,7.9
Lost in Yonkers,1993-05-14,7.1,7.7
Hot Shots! Part Deux,1993-05-21,5.9,6.3
Menace II Society,1993-05-26,8.4,9.3
Like Water for Chocolate,1992-02-27,8.8,8.4
The Long Day Closes,1992-09-12,8.2,7.7
Life With Mikey,1993-06-04,2.5,3.9
Orlando,1993-06-09,8.4,8.2
Jurassic Park,1993-06-11,9.2,9.1
Last Action Hero,1993-06-18,4.2,4.8
Once Upon a Forest,1993-06-18,2.2,6.9
Dennis the Menace,1993-06-24,2.7,3.8
Sleepless in Seattle,1993-06-25,7.5,7.5
What's Love Got to Do With It,1993-06-09,9.7,8.8
Son-in-Law,1993-07-02,3.2,5.9
In the Line of Fire,1993-07-09,9.6,7.9
Rookie of the Year,1993-07-07,4.1,5.2
Weekend at Bernie's II,1993-07-09,1.3,4.1
Free Willy,1993-07-16,7.1,5.0
Hocus Pocus,1993-07-16,4.0,7.2
Poetic Justice,1993-07-23,3.4,8.3
Robin Hood: Men in Tights,1993-07-28,4.2,8.1
Rising Sun,1993-07-30,3.3,4.0
So I Married an Axe Murderer,1993-07-30,5.3,6.8
Tom and Jerry: The Movie,1992-04-14,1.4,4.1
My Boyfriend's Back,1993-08-06,1.3,4.5
The Wedding Banquet,1993-08-01,9.7,8.7
Searching for Bobby Fischer,1993-08-11,10.0,8.6
The Secret Garden,1993-08-01,8.9,8.0
Manhattan Murder Mystery,1993-08-18,9.4,8.3
Wilder Napalm,1993-08-20,2.5,5.5
Father Hood,1993-08-27,1.0,3.4
Son of the Pink Panther,1993-08-27,0.6,1.8
The Thing Called Love,1993-07-16,5.7,5.2
Calendar Girl,1993-09-03,1.1,3.1
The Joy Luck Club,1993-09-08,8.6,8.9
Money for Nothing,1993-08-20,2.0,3.1
True Romance,1993-09-10,9.3,9.3
Undercover Blues,1993-09-10,3.7,6.7
Household Saints,1993-09-15,6.8,7.4
The Age of Innocence,1993-09-17,8.8,7.5
Dazed and Confused,1993-09-10,9.3,9.0
The Good Son,1993-09-24,2.5,5.4
The Program,2016-03-18,6.2,4.4
Warlock: The Armageddon,1993-02-23,0.0,4.1
Malice,1993-10-01,5.7,4.6
Mr. Nanny,1993-01-15,0.6,3.3
Fearless,2006-09-22,7.3,8.6
Mr. Wonderful,1993-10-15,5.2,4.1
Rudy,1993-09-18,7.7,9.0
Twenty Bucks,1993-10-22,7.5,6.1
The Nightmare Before Christmas,1993-10-29,9.5,9.2
Flesh and Bone,1993-11-05,7.0,4.2
Ruby in Paradise,1993-10-08,8.6,7.6
The Remains of the Day,1993-11-05,9.6,9.0
Carlito's Way,1993-11-10,8.4,9.1
Ernest Rides Again,1993-11-12,1.4,4.2
Ed and His Dead Mother,1994-12-19,5.0,5.1
The Saint of Fort Washington,1993-11-17,8.0,8.7
Addams Family Values,1993-11-19,7.5,6.3
Mrs. Doubtfire,1993-11-24,7.0,7.7
A Perfect World,1993-11-24,7.8,8.4
We're Back! A Dinosaur's Story,1993-11-24,3.8,5.0
The Snapper,1993-08-06,9.7,8.6
The Snapper,1993-08-06,9.7,8.6
Six Degrees of Separation,1993-12-08,8.8,7.1
Geronimo: An American Legend,1993-12-10,5.0,5.2
Sister Act 2: Back in the Habit,1993-12-10,1.8,6.1
Wayne's World 2,1993-12-10,6.0,6.3
Schindler's List,1993-12-15,9.8,9.7
Beethoven's 2nd,1993-12-17,2.3,3.1
The Pelican Brief,1993-12-17,5.5,6.1
The Pelican Brief,1993-12-17,5.5,6.1
What's Eating Gilbert Grape,1993-12-25,9.0,8.9
Wrestling Ernest Hemingway,1993-12-17,5.9,6.9
Philadelphia,1993-12-22,8.1,8.9
Batman: Mask of the Phantasm,1993-12-25,8.3,8.8
Grumpy Old Men,1993-12-25,6.5,7.4
Shadowlands,1994-01-14,9.7,8.9
Tombstone,1993-12-25,7.3,9.4
Ghost in the Machine,1993-12-29,1.0,2.3
In the Name of the Father,1993-12-12,9.4,9.5
Forrest Gump,1994-07-06,7.6,9.5
The Lion King,1994-06-24,9.2,9.3
The Lion King,1994-06-24,9.2,9.3
True Lies,1994-07-15,7.0,7.6
The Santa Clause,1994-11-11,7.3,6.6
The Flintstones,1994-05-27,2.3,2.5
Dumb & Dumber,1994-12-16,6.8,8.4
Clear and Present Danger,1994-08-03,8.1,7.4
Mask,1985-03-08,9.3,8.3
Pulp Fiction,1994-10-14,9.2,9.6
Cabin Boy,1994-01-07,4.8,4.2
House Party 3,1994-01-12,0.0,6.7
The Scent of Green Papaya,1994-01-28,10.0,8.2
The Scent of Green Papaya,1994-01-28,10.0,8.2
Ace Ventura: Pet Detective,1994-02-04,4.7,5.7
I'll Do Anything,1994-02-04,6.7,4.1
"My Father, the Hero",1994-02-04,2.0,5.4
Romeo Is Bleeding,1994-02-04,2.7,6.1
Blank Check,1994-02-11,0.9,3.4
Getaway,2013-08-30,0.3,3.6
Blue Chips,1994-02-18,3.8,5.1
Reality Bites,1994-02-18,6.2,7.4
China Moon,1994-03-04,4.0,4.1
Greedy,1994-03-04,3.2,4.8
Four Weddings and a Funeral,1994-03-09,9.2,7.4
The Hudsucker Proxy,1994-03-11,6.3,7.9
The Hudsucker Proxy,1994-03-11,6.3,7.9
The Ref,1994-03-09,7.4,7.3
Bitter Moon,1994-03-11,6.3,8.0
Monkey Trouble,1994-03-18,5.5,4.1
The Paper,1994-03-18,8.9,6.6
Above the Rim,1994-03-23,5.0,8.2
Jimmy Hollywood,1994-03-30,2.8,2.8
Thumbelina,1994-03-30,4.0,6.6
Leprechaun 2,1994-04-08,0.6,2.9
Serial Mom,1994-04-13,6.3,7.2
Backbeat,1994-04-15,6.8,6.7
Cops and Robbersons,1994-04-15,1.8,2.3
Surviving the Game,1994-04-15,3.5,4.8
White Fang 2: Myth of the White Wolf,1994-04-15,7.1,4.7
Brainscan,1994-04-22,1.3,6.0
The Inkwell,1994-04-22,2.2,8.2
P.C.U.,1994-04-29,5.0,7.5
When a Man Loves a Woman,1994-04-29,6.9,7.7
3 Ninjas Kick Back,1994-05-06,1.5,4.0
Being Human,1994-05-06,5.4,4.2
The Crow,1994-05-13,8.6,9.0
The Crow,1994-05-13,8.6,9.0
Even Cowgirls Get the Blues,1994-05-20,1.7,2.8
Maverick,1994-05-20,6.8,7.1
The Flintstones,1994-05-27,2.3,2.5
Little Buddha,1994-05-25,6.5,5.3
The Cowboy Way,1994-06-03,2.0,5.9
The Endless Summer II,1994-06-03,5.0,9.3
Fear of a Black Hat,1994-06-03,8.3,8.7
Renaissance Man,1994-06-03,1.2,5.3
City Slickers II: The Legend of Curly's Gold,1994-06-10,1.5,3.1
The Lion King,1994-06-24,9.2,9.3
The Lion King,1994-06-24,9.2,9.3
Little Big League,1994-06-29,3.5,5.4
Baby's Day Out,1994-07-01,2.4,5.2
Forrest Gump,1994-07-06,7.6,9.5
That's Entertainment! III,1994-05-06,10.0,8.3
True Lies,1994-07-15,7.0,7.6
The Client,1994-07-20,8.0,6.8
The Client,1994-07-20,8.0,6.8
North,1994-07-22,1.4,2.7
Mask,1985-03-08,9.3,8.3
Clear and Present Danger,1994-08-03,8.1,7.4
Eat Drink Man Woman,1994-08-03,8.8,9.2
The Little Rascals,1994-08-05,2.1,7.0
"The Adventures of Priscilla, Queen of the Desert",1994-08-10,9.4,8.8
In the Army Now,1994-08-12,1.2,4.4
Andre,1994-08-17,4.3,5.3
Killing Zoe,1994-08-19,3.6,6.4
Camp Nowhere,1994-08-26,1.7,5.8
Natural Born Killers,1994-08-26,5.1,8.1
Trial by Jury,1994-09-09,0.8,2.9
Quiz Show,1994-09-14,9.7,8.7
Blue Sky,1994-09-16,8.0,5.8
Princess Caraboo,1997-09-16,6.5,5.0
It Runs in the Family,2003-04-25,2.9,2.9
The Shawshank Redemption,1994-09-01,8.9,9.8
The Shawshank Redemption,1994-09-01,8.9,9.8
Jason's Lyric,1994-09-28,5.8,9.0
Ed Wood,1994-09-28,9.2,8.8
The River Wild,1994-09-30,6.3,5.2
The River Wild,1994-09-30,6.3,5.2
The Scout,1994-09-30,3.1,2.2
Hoop Dreams,1994-10-14,9.8,9.2
Imaginary Crimes,1994-10-14,6.0,6.2
Little Giants,1994-10-14,3.6,6.3
Pulp Fiction,1994-10-14,9.2,9.6
Bullets Over Broadway,1994-10-21,9.5,8.3
Clerks,1994-10-19,9.0,8.9
Radioland Murders,1994-10-21,3.2,6.0
The Last Seduction,1994-10-26,9.4,7.6
The Last Seduction,1994-10-26,9.4,7.6
The Road to Wellville,1994-10-28,3.9,4.4
The Road to Wellville,1994-10-28,3.9,4.4
Silent Fall,1994-10-28,2.6,3.8
Stargate,1994-10-28,5.3,7.3
Double Dragon,1994-11-04,1.2,2.6
Mary Shelley's Frankenstein,1994-11-04,4.2,4.9
Oleanna,1994-11-04,5.3,6.1
War,2007-08-24,1.3,5.1
The Santa Clause,1994-11-11,7.3,6.6
Heavenly Creatures,1994-11-16,9.5,8.3
Star Trek Generations,1994-11-18,4.8,5.7
Love and a .45,1994-11-23,7.1,7.0
Mrs. Parker and the Vicious Circle,1994-11-23,7.6,6.1
The Pagemaster,1994-11-23,1.9,4.9
Tom & Viv,1994-12-02,3.6,6.0
Trapped in Paradise,1994-12-02,1.0,4.2
Dumb & Dumber,1994-12-16,6.8,8.4
Mixed Nuts,1994-12-21,1.3,4.7
Richie Rich,1994-12-21,2.6,3.2
Death and the Maiden,1994-12-23,8.2,8.1
Legends of the Fall,1994-12-16,5.9,8.7
Nell,1994-12-23,5.7,6.4
I.Q.,1994-12-25,4.5,4.7
The Madness of King George,1994-12-28,9.4,8.0
Toy Story,1995-11-22,10.0,9.2
Batman Forever,1995-06-16,4.1,3.2
Apollo 13,1995-06-30,9.6,8.7
Ace Ventura: When Nature Calls,1995-11-10,2.1,7.2
GoldenEye,1995-11-17,8.0,8.3
Jumanji: Welcome to the Jungle,2017-12-20,7.6,8.7
Casper,1995-05-26,5.2,5.0
Seven,1995-09-22,8.3,9.5
Die Hard With a Vengeance,1995-05-19,5.9,8.3
Houseguest,1995-01-06,1.7,5.5
Higher Learning,1995-01-11,4.6,7.3
Far From Home: The Adventures of Yellow Dog,1995-01-13,6.3,5.4
Tales From the Crypt Presents Demon Knight,1995-01-13,4.2,6.5
Murder in the First,1995-01-20,5.4,7.9
S.F.W.,1995-01-20,1.2,4.9
Before Sunrise,1995-01-27,10.0,9.3
Boys on the Side,1995-02-03,7.3,6.8
In the Mouth of Madness,1995-02-03,6.0,7.3
The Secret of Roan Inish,1994-01-21,9.5,8.7
The Secret of Roan Inish,1994-01-21,9.5,8.7
Billy Madison,1995-02-10,4.0,7.9
The Brady Bunch Movie,1995-02-17,6.4,4.7
The Brady Bunch Movie,1995-02-17,6.4,4.7
Heavyweights,1995-02-17,3.8,7.7
Man of the House,2005-02-25,0.9,4.6
Roommates,1995-03-03,2.9,5.6
Muriel's Wedding,1994-03-10,8.1,8.4
"Bye Bye, Love",1995-03-17,2.3,5.0
Candyman: Farewell to the Flesh,1995-03-17,2.1,3.0
Exotica,1994-03-03,9.5,8.3
Major Payne,1995-03-24,2.9,6.8
Tall Tale: The Unbelievable Adventures of Pecos Bill,1995-03-24,4.8,5.2
Funny Bones,1995-03-24,6.3,8.1
Jefferson in Paris,1995-03-31,3.1,3.5
Tank Girl,1995-03-31,4.5,6.2
Tommy Boy,1995-03-31,4.0,9.0
Don Juan DeMarco,1995-04-07,7.2,6.8
A Goofy Movie,1995-04-07,5.9,7.1
The Pebble and the Penguin,1995-04-11,3.1,4.5
Stuart Saves His Family,1995-04-12,3.0,5.3
Friday,1995-04-26,7.6,9.1
Crumb,1994-04-21,9.5,8.9
The Underneath,1995-04-28,6.2,3.9
My Family/Mi Familia,1995-05-03,7.9,8.8
French Kiss,1995-05-05,4.8,7.4
Crimson Tide,1995-05-12,8.9,8.3
Gordy,1995-05-12,2.1,2.5
The Perez Family,1995-05-12,6.0,5.8
The City of Lost Children,1995-12-15,8.0,9.0
Die Hard With a Vengeance,1995-05-19,5.9,8.3
Tales From the Hood,1995-05-24,5.8,6.9
Casper,1995-05-26,5.2,5.0
The Bridges of Madison County,1995-06-02,9.0,8.7
The Glass Shield,1994-06-02,6.8,4.0
The Glass Shield,1994-06-02,6.8,4.0
Batman Forever,1995-06-16,4.1,3.2
The Incredibly True Adventure of Two Girls in Love,1995-01-23,7.9,6.9
Safe,1995-06-23,8.7,7.5
The Infiltrator,2016-07-13,7.1,7.1
Apollo 13,1995-06-30,9.6,8.7
Mighty Morphin Power Rangers: The Movie,1995-06-30,3.2,5.7
Darkman II: The Return of Durant,1995-07-11,3.3,2.0
Nine Months,1995-07-12,2.7,3.7
The Indian in the Cupboard,1995-07-14,7.0,4.1
Clueless,1995-07-19,8.1,7.6
Free Willy 2: The Adventure Home,1995-07-19,5.0,4.2
Living in Oblivion,1995-03-17,8.6,8.7
Kids,1995-07-28,4.7,7.7
Operation Dumbo Drop,1995-07-28,2.5,2.9
Waterworld,1995-07-28,4.7,4.3
Bushwhacked,1995-08-04,1.8,3.8
Something to Talk About,1995-08-04,3.3,5.2
The Brothers McMullen,1995-08-09,8.8,6.0
Dangerous Minds,1995-08-11,3.4,6.4
Unzipped,1995-08-11,7.8,7.8
The Amazing Panda Adventure,1995-08-25,3.0,4.1
The Amazing Panda Adventure,1995-08-25,3.0,4.1
Beyond Rangoon,1995-08-25,3.5,7.1
Desperado,1995-08-25,7.0,7.9
Dr. Jekyll and Ms. Hyde,1995-09-01,1.4,2.1
Lord of Illusions,1995-08-25,5.8,5.3
The Thief and the Cobbler,1995-08-25,6.0,7.3
The Thief and the Cobbler,1995-08-25,6.0,7.3
Magic in the Water,1995-08-30,2.1,5.8
Last of the Dogmen,1995-09-08,6.9,8.0
National Lampoon's Senior Trip,1995-09-08,0.0,5.5
"To Wong Foo, Thanks for Everything, Julie Newmar",1995-09-08,4.8,7.2
Clockers,1995-09-11,7.4,7.4
Hackers,1995-09-15,3.3,6.8
Unstrung Heroes,1995-09-15,7.5,6.1
The Usual Suspects,1995-08-16,8.7,9.6
Empire Records,1995-09-22,3.1,8.3
Seven,1995-09-22,8.3,9.5
The Big Green,1995-09-29,0.0,4.6
Devil in a Blue Dress,1995-09-29,9.2,7.1
Halloween: The Curse of Michael Myers,1995-09-29,0.8,3.6
Dead Presidents,1995-10-04,4.9,7.8
Assassins,1995-10-06,1.6,4.5
Kicking & Screaming,2005-05-13,4.1,4.3
Blue in the Face,1995-10-13,4.3,7.6
Jade,1995-10-13,1.6,4.3
Strange Days,1995-10-13,6.8,7.3
Get Shorty,1995-10-20,8.9,7.0
Mallrats,1995-10-20,5.8,8.2
Now and Then,1995-10-20,3.3,8.2
Leaving Las Vegas,1995-10-27,9.1,8.5
Mighty Aphrodite,1995-11-03,7.8,7.3
Gold Diggers: The Secret of Bear Mountain,1995-11-03,5.0,5.3
Ace Ventura: When Nature Calls,1995-11-10,2.1,7.2
The Crossing Guard,1995-11-15,7.5,5.3
The American President,1995-11-17,9.1,7.7
The American President,1995-11-17,9.1,7.7
GoldenEye,1995-11-17,8.0,8.3
Last Summer in the Hamptons,1995-11-22,6.4,4.4
Toy Story,1995-11-22,10.0,9.2
Things to Do in Denver When You're Dead,1995-12-01,3.7,7.2
Wild Bill,1995-12-01,4.6,2.7
Jumanji: Welcome to the Jungle,2017-12-20,7.6,8.7
Balto,1995-12-22,5.6,7.0
Dracula: Dead and Loving It,1995-12-22,1.1,4.9
Tom and Huck,1995-12-22,2.5,4.2
Waiting to Exhale,1995-12-22,5.6,7.9
Four Rooms,1995-12-25,1.3,6.9
12 Monkeys,1995-01-26,8.8,8.8
Mr. Holland's Opus,1996-01-19,7.5,8.4
Mission: Impossible,1996-05-22,6.5,7.1
Jerry Maguire,1996-12-11,8.4,7.9
The Birdcage,1996-03-08,8.4,8.1
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996-01-12,3.2,8.0
Dunston Checks In,1996-01-12,1.7,4.1
Two if by Sea,1996-01-12,1.3,2.3
From Dusk Till Dawn,1996-01-19,6.3,7.6
Angels and Insects,1995-01-26,6.8,6.7
Bed of Roses,1996-01-26,1.9,6.7
Big Bully,1996-01-26,0.0,2.0
Antonia's Line,1995-02-02,6.9,9.1
Beautiful Girls,1996-02-09,7.8,8.0
City Hall,1996-02-16,5.8,3.7
Happy Gilmore,1996-02-16,6.2,8.5
Mr. Wrong,1996-02-16,0.6,2.6
Muppet Treasure Island,1996-02-16,7.1,7.7
Bottle Rocket,1996-02-21,8.6,7.9
The Young Poisoner's Handbook,1996-02-23,8.7,8.4
Up Close & Personal,1996-03-01,3.2,6.6
The Birdcage,1996-03-08,8.4,8.1
Fargo,1996-03-15,9.5,9.2
Hellraiser: Bloodline,1996-03-08,2.5,3.6
If Lucy Fell,1996-03-08,1.8,5.2
The Star Maker,1996-03-08,7.5,8.1
The Celluloid Closet,1996-01-30,9.7,8.9
Ed,1996-03-15,0.6,2.2
Two Much,1996-03-15,1.4,3.5
Diabolique,1996-03-22,2.3,4.0
Flirting With Disaster,1996-03-22,8.8,6.9
Race the Sun,1996-03-22,2.2,4.1
All Dogs Go to Heaven 2,1996-03-29,2.0,3.9
Sgt. Bilko,1996-03-29,3.0,4.7
James and the Giant Peach,1996-04-12,9.1,6.6
Kids in the Hall: Brain Candy,1996-04-12,4.4,7.7
Celtic Pride,1996-04-19,1.2,3.2
My Favorite Season,1993-04-19,9.3,8.0
Mystery Science Theater 3000: The Movie,1996-04-19,8.0,8.8
Butterfly Kiss,1995-05-03,7.9,6.0
Cemetery Man,1996-04-26,6.1,7.8
Mulholland Falls,1996-04-26,3.1,3.9
Sunset Park,1996-04-23,1.3,8.3
The Truth About Cats & Dogs,1996-04-26,8.5,5.7
I Shot Andy Warhol,1996-05-01,7.7,7.0
The Craft,1996-05-03,5.7,6.5
The Craft,1996-05-03,5.7,6.5
The Great White Hype,1996-05-03,4.2,3.5
Dead Man,1995-05-10,7.0,8.8
Original Gangstas,1996-05-10,5.3,4.8
Mission: Impossible,1996-05-22,6.5,7.1
Welcome to the Dollhouse,1995-01-15,9.3,8.6
Dragonheart,1996-05-31,5.0,6.0
Stealing Beauty,1996-06-14,5.0,7.5
The Switchblade Sisters,1996-06-15,5.6,7.0
Eraser,1996-06-21,4.3,4.0
Phenomenon,1996-07-03,4.9,5.9
Courage Under Fire,1996-07-12,8.6,6.6
Kazaam,1996-07-17,0.5,2.0
Walking and Talking,1996-07-17,8.8,7.0
The Frighteners,1996-07-19,6.7,7.1
The Frighteners,1996-07-19,6.7,7.1
Trainspotting,1996-07-19,9.0,9.3
Joe's Apartment,1996-07-26,2.1,4.2
Manny & Lo,1996-07-26,6.1,6.3
Basquiat,1996-08-09,6.7,7.7
Tales From the Crypt Presents Bordello of Blood,1996-08-16,1.4,3.1
Fan,2016-04-15,8.1,7.8
Kansas City,1996-08-16,6.0,4.3
Tin Cup,1996-08-16,7.2,6.5
She's the One,1996-08-23,6.2,4.1
Solo,1996-08-23,0.8,2.6
First Kid,1996-08-30,2.0,3.2
The Trigger Effect,1996-08-30,7.3,4.3
The Trigger Effect,1996-08-30,7.3,4.3
Stonewall,1996-07-26,6.7,6.8
American Buffalo,1996-09-13,7.4,4.6
Feeling Minnesota,1996-09-13,1.4,2.7
Fly Away Home,1996-09-13,8.8,7.0
Grace of My Heart,1996-09-13,7.9,7.9
The Rich Man's Wife,1996-09-13,1.3,3.9
Big Night,1996-01-24,9.7,8.4
The First Wives Club,1996-09-20,5.0,6.8
Surviving Picasso,1996-09-04,3.5,6.0
Secrets & Lies,1996-10-25,9.6,9.1
Bound,1996-10-04,8.7,8.3
D3: The Mighty Ducks,1996-10-04,2.0,4.5
That Thing You Do!,1996-10-04,9.3,7.8
The Ghost and the Darkness,1996-10-11,5.0,7.5
Looking for Richard,1996-10-11,8.3,7.9
Michael Collins,1996-09-05,7.8,8.4
Trees Lounge,1996-10-11,8.1,7.8
Get on the Bus,1996-10-16,8.9,7.1
Jude,1996-10-18,8.1,7.3
Swingers,1996-10-18,8.8,8.9
High School High,1996-10-25,1.9,3.7
Palookaville,1996-10-25,6.4,6.3
When We Were Kings,1997-02-14,9.8,9.4
Bad Moon,1996-11-01,3.0,4.6
Dear God,1996-11-01,1.2,2.8
The Funeral,1996-11-01,8.0,6.8
Unhook the Stars,1996-11-01,8.1,4.7
Hype!,1996-11-08,9.3,8.7
Mad Dog Time,1996-11-08,1.7,4.8
Breaking the Waves,1996-10-04,8.4,9.1
The English Patient,1996-11-06,8.6,8.3
The Mirror Has Two Faces,1996-11-15,5.4,7.1
Space Jam,1996-11-15,4.3,6.3
Jingle All the Way,1996-11-16,2.0,4.1
Ridicule,1996-11-22,8.0,8.4
Shine,1996-01-21,9.1,9.0
Star Trek: First Contact,1996-11-22,9.3,8.9
Sling Blade,1996-08-30,9.7,9.2
Adrenalin: Fear the Rush,1996-11-29,0.0,2.8
Daylight,1996-12-06,2.6,3.7
Everyone Says I Love You,1997-01-03,7.7,6.8
Citizen Ruth,1996-12-13,8.1,7.4
Jerry Maguire,1996-12-11,8.4,7.9
Mars Attacks!,1996-12-12,5.6,5.3
The Preacher's Wife,1996-12-13,6.2,4.3
Bastard Out of Carolina,1996-12-15,10.0,8.4
Marvin's Room,1996-12-18,8.4,6.3
Beavis and Butt-head Do America,1996-12-20,7.1,7.0
Ghosts of Mississippi,1996-12-20,4.3,6.2
My Fellow Americans,1996-12-20,4.7,6.4
Scream,2022-01-14,7.6,8.2
The Whole Wide World,1996-12-20,7.6,7.3
Evita,1996-12-25,6.4,6.8
I'm Not Rappaport,1996-12-24,3.8,6.0
The People vs. Larry Flynt,1996-12-25,8.8,8.0
Titanic,1997-12-19,8.8,6.9
Men in Black,1997-07-04,9.1,8.0
The Lost World: Jurassic Park,1997-05-23,5.3,5.1
Liar Liar,1997-03-21,8.3,7.5
Air Force One,1997-07-25,7.9,6.6
As Good as It Gets,1997-12-19,8.6,8.6
Good Will Hunting,1998-01-09,9.7,9.4
My Best Friend's Wedding,1997-06-20,7.4,7.3
Tomorrow Never Dies,1997-12-19,5.7,5.3
Face/Off,1997-06-27,9.3,8.2
Relic,2020-07-10,9.2,5.1
Dead Silence,2007-03-16,2.1,5.1
Albino Alligator,1997-01-17,5.0,4.2
Beverly Hills Ninja,1997-01-17,1.3,5.3
Hurricane,1997-02-13,8.8,7.8
Fierce Creatures,1997-01-24,5.3,5.8
Prefontaine,1997-01-24,5.6,7.8
Zeus and Roxanne,1997-01-24,4.0,4.2
Gridlock'd,1997-01-29,8.8,7.9
Shadow Conspiracy,1997-01-31,0.7,1.8
Star Wars: Episode IV - A New Hope,1977-05-25,9.3,9.6
Waiting for Guffman,1996-01-31,9.1,9.1
The Beautician and the Beast,1997-02-07,2.2,4.6
Dante's Peak,1997-02-07,2.8,3.8
Suburbia,1996-10-11,6.8,6.8
Dangerous Ground,1997-02-12,0.8,3.5
Fools Rush In,1997-02-14,3.1,6.4
That Darn Cat,1997-02-14,1.3,2.3
Blood and Wine,1996-02-21,6.3,3.6
Star Wars: Episode V - The Empire Strikes Back,1980-05-21,9.5,9.7
Star Wars: Episode V - The Empire Strikes Back,1980-05-21,9.5,9.7
Lost Highway,1997-02-21,6.9,8.7
Rosewood,1997-02-21,8.7,8.3
Booty Call,1997-02-26,3.1,5.9
Donnie Brasco,1997-02-28,8.8,8.9
Hard Eight,1996-01-20,8.2,8.3
Kama Sutra,1996-02-28,4.0,7.1
Smilla's Sense of Snow,1997-02-28,5.3,5.7
Jungle 2 Jungle,1997-03-07,1.9,3.3
City of Industry,1997-03-14,4.3,3.9
Love Jones,1997-03-14,7.6,9.7
Star Wars: Episode VI - Return of the Jedi,1983-05-25,8.2,9.4
Liar Liar,1997-03-21,8.3,7.5
Selena,1997-03-21,6.6,7.8
Cats Don't Dance,1997-03-26,7.1,8.0
The Devil's Own,1997-03-26,3.7,4.1
B.A.P.S,1997-03-28,1.5,6.7
Turbo: A Power Rangers Movie,1997-03-28,1.6,4.0
Chasing Amy,1997-04-04,8.7,8.3
Inventing the Abbotts,1997-04-04,3.6,5.1
That Old Feeling,1997-04-04,4.3,5.9
Grosse Pointe Blank,1997-04-11,8.2,8.6
Keys to Tulsa,1997-04-11,1.0,2.3
Paradise Road,1997-04-11,4.3,7.8
Kissed,1996-04-11,6.8,6.7
A Brother's Kiss,1997-04-25,10.0,6.8
Female Perversions,1996-01-22,7.1,4.5
Romy and Michele's High School Reunion,1997-04-25,7.5,6.5
Austin Powers: International Man of Mystery,1997-05-02,7.3,7.7
Broken English,2007-06-22,6.4,6.2
Commandments,1997-05-02,2.4,3.7
Warriors of Virtue,1997-05-02,1.8,4.7
Fathers' Day,1997-05-09,2.5,2.6
Nowhere,1997-05-09,4.7,7.6
Underworld,2003-09-19,3.1,7.9
Love! Valour! Compassion!,1997-05-16,7.1,7.7
Night Falls on Manhattan,1997-05-16,7.1,6.4
Addicted to Love,1997-05-12,5.5,5.0
The Lost World: Jurassic Park,1997-05-23,5.3,5.1
Gone Fishin',1997-05-30,0.4,3.7
Con Air,1997-06-06,5.8,7.5
Temptress Moon,1996-10-05,6.2,7.3
Ulee's Gold,1997-06-13,9.4,7.5
Wedding Bell Blues,1997-06-13,4.0,4.7
For Roseanna,1997-03-06,3.8,8.2
My Best Friend's Wedding,1997-06-20,7.4,7.3
Face/Off,1997-06-27,9.3,8.2
Hercules,1997-06-14,8.2,7.6
Men in Black,1997-07-04,9.1,8.0
Wild America,1997-07-02,2.9,5.9
4 Little Girls,1997-07-09,10.0,8.9
